user_id,product_id,rating
A20O5F760SYW9L,B009K184TO,5.0
A1JTKWWXIK8SQ8,B000EBPJCO,4.0
A2R5TGI1ZJETUA,B0000AN4EG,5.0
A19MWG85XAVTT1,B008FQCSX8,5.0
AR5XJEZR0LWWW,B002TS3KTO,1.0
ATJ39YVQR8KJ2,B003AIL2HE,1.0
A25CCPG2XJXI2R,B0006HU49E,5.0
A2U6UPHSBJ0SOY,B0007UVRVO,5.0
A1QVHZIGAT40JZ,B00DUN2PBQ,5.0
A37Z6I4EU6EW5G,B005BCAKO8,4.0
AK6OODGJK65NV,B009DXVUGS,5.0
A3SQ08URWTY9M3,B0082BZY4G,4.0
A1N7PGBESO821N,B001DZ9E7G,4.0
A3I3BW8PLT54OB,B00A4ZXE40,5.0
A3GUWW3GOKAN8O,B000W5ORTS,5.0
A2WO3RGJHZIKHX,B009WGFMP6,5.0
A3JO9C2FPLPLCM,B001PKAG0I,3.0
A2DYFKRJP287ZN,B001QD8E2G,4.0
A2LDI3PKPELV12,B006TZM6XO,5.0
A3FXPFN66IEDOV,B00GR30SW4,5.0
AEYNR7BEY29AE,B004T1YAEI,5.0
AKZQSEBOWPD61,B00ASQFW40,5.0
A2KDYSLV030FVX,B004TF3P68,5.0
A3A8ZWV1PQWXK5,B001ANJTKI,4.0
A9IP685WQXGQ2,B004H1N73A,5.0
A1HTG577Q37KY1,B007Y8N19S,5.0
A356X26TH0GS9X,B000OH56ZS,3.0
A37JNUJSVAJKYN,B0007N33IQ,4.0
A15Y19PT72CIFU,B002KO5XVU,5.0
A2FAVFJ8H4QQIN,B002VPE1QG,5.0
A120QUU6FOXQSG,B002RR37CM,1.0
A17I4QSLUA9QES,B000WL6YY8,5.0
A157QVHN4DCSVY,B008ZGKWQI,5.0
A1VX0WOLHNIZLQ,B00AZR1TG2,4.0
A2BFNIEY76S5ET,B005CLPP8E,2.0
A2E2WYCORTBQJ0,B001C271MA,5.0
A1C5WUA1TTQD40,B0062P7ISY,1.0
AI1UJ8THQXZN6,B009A5204K,5.0
A317RWPY08I5QX,B00FWNGB4Y,5.0
A1DSBUEY5XHGOT,B000HKGK8Y,5.0
A3HYAIDY6G6MZ1,B000MHQ3RA,2.0
A3G97VUHNXJ5MM,B0009RJNJ8,4.0
A1XM1QWU17IFAO,B004XZHY34,5.0
A3DJ3KRKCEY044,B007136EDG,5.0
A1T1Q47UH0R0MY,B0099PJE7W,4.0
A36K2N527TXXJN,B00I9V8D92,4.0
A1ZPD95KQ4FON0,B000XHS4SK,3.0
A1K1PIHN0L9OPM,B003IT71OI,1.0
A2KVKK7NC6533M,B000IF4788,4.0
A9NYNJQU1W0V5,B0040QE98O,5.0
A3VKEE3ORLHFUV,B009FBIBKG,5.0
A7YNXNZ9H6OLX,B005HMKKH4,5.0
A1X6HBODU849L9,B002TQYUAE,5.0
A1R8PH068RYY8Y,B00093IIRA,5.0
A1WD74CR47MLLS,B0047T79TU,4.0
